,toxin_id,cas_number
193,T3D0241,"7778-44-1"
194,T3D0242,"7487-94-7"
195,T3D0243,"7784-46-5"
196,T3D0244,"50-00-0"
197,T3D0245,"95-57-8"
198,T3D0246,"85-01-8"
199,T3D0247,"7664-39-3"
200,T3D0248,"94-75-7"
201,T3D0249,"124-48-1"
202,T3D0252,"1968-12-02"
203,T3D0253,"129-00-0"
204,T3D0255,"60-29-7"
205,T3D0257,"100-02-7"
206,T3D0259,"7803-51-2"
207,T3D0261,"606-20-2"
208,T3D0264,"298-00-0"
209,T3D0265,"1978-11-05"
210,T3D0271,"100-42-5"
211,T3D0275,"578-94-9"
212,T3D0276,"1303-33-9"
213,T3D0277,"1303-32-8"
214,T3D0278,"1303-34-0"
215,T3D0279,"7784-34-1"
216,T3D0282,"13464-58-9"
217,T3D0285,"7784-44-3"
218,T3D0286,"10290-12-7"
219,T3D0287,"1303-00-0"
220,T3D0288,"10103-61-4"
221,T3D0289,"16102-92-4"
222,T3D0290,"10124-50-2"
223,T3D0292,"1303-28-2"
224,T3D0293,"10103-50-1"
225,T3D0294,"61136-68-3"
226,T3D0296,"7784-40-9"
227,T3D0297,"7784-41-0"
228,T3D0298,"7631-89-2"
229,T3D0299,"13464-44-3"
230,T3D0300,"98-50-0"
231,T3D0301,"64436-13-1"
232,T3D0302,"39895-81-3"
233,T3D0303,"593-52-2"
234,T3D0304,"593-57-7"
235,T3D0305,"593-88-4"
236,T3D0308,"19444-53-2"
237,T3D0309,"2163-80-6"
238,T3D0310,"98-05-5"
239,T3D0311,"121-19-7"
240,T3D0312,"139-93-5"
241,T3D0313,"121-59-5"
242,T3D0314,"554-72-3"
243,T3D0315,"98-72-6"
244,T3D0316,"127-85-5"
245,T3D0317,"124-65-2"
246,T3D0318,"4964-14-1"
247,T3D0319,"301-04-2"
248,T3D0320,"10031-13-7"
249,T3D0321,"13424-46-9"
250,T3D0322,"10031-22-8"
251,T3D0323,"598-63-0"
252,T3D0324,"7758-95-4"
253,T3D0325,"7758-97-6"
254,T3D0326,"13814-96-5"
255,T3D0327,"10101-63-0"
256,T3D0328,"12709-98-7"
257,T3D0329,"10099-74-8"
258,T3D0330,"1317-36-8"
259,T3D0331,"1309-60-0"
260,T3D0332,"1314-41-6"
261,T3D0333,"7446-27-7"
262,T3D0334,"15245-44-0"
263,T3D0335,"7446-14-2"
264,T3D0336,"1314-87-0"
265,T3D0337,"75-74-1"
266,T3D0338,"78-00-2"
267,T3D0340,"628-86-4"
268,T3D0341,"1344-48-5"
269,T3D0342,"21908-53-2"
270,T3D0343,"10112-91-1"
271,T3D0344,"62-38-4"
272,T3D0345,"20601-83-6"
273,T3D0346,"12068-90-5"
274,T3D0347,"29870-72-2"
275,T3D0348,"1600-27-7"
276,T3D0349,"631-60-7"
277,T3D0350,"7774-29-0"
278,T3D0351,"15385-57-6"
279,T3D0352,"15385-58-7"
280,T3D0353,"7789-47-1"
281,T3D0354,"10045-94-0"
282,T3D0355,"10415-75-5"
283,T3D0356,"592-85-8"
284,T3D0357,"7783-35-9"
285,T3D0358,"7783-36-0"
286,T3D0360,"125-09-3"
287,T3D0361,"593-74-8"
288,T3D0362,"7783-33-7"
289,T3D0363,"592-04-1"
290,T3D0364,"543-90-8"
291,T3D0367,"12006-15-4"
292,T3D0368,"14518-94-6"
293,T3D0369,"7789-42-6"
294,T3D0370,"513-78-0"
295,T3D0371,"10108-64-2"
296,T3D0372,"14486-19-2"
297,T3D0373,"7790-79-6"
298,T3D0374,"17010-21-8"
299,T3D0375,"21041-95-2"
300,T3D0376,"7790-80-9"
301,T3D0377,"16039-55-7"
302,T3D0378,"10325-94-7"
303,T3D0380,"1306-19-0"
304,T3D0381,"13477-17-3"
305,T3D0382,"1306-24-7"
306,T3D0383,"141-00-4"
307,T3D0384,"10124-36-4"
308,T3D0386,"1306-23-6"
309,T3D0387,"1306-25-8"
310,T3D0388,"7790-85-4"
311,T3D0389,"92-52-4"
312,T3D0390,"2051-60-7"
313,T3D0391,"2051-61-8"
314,T3D0392,"2051-62-9"
315,T3D0393,"13029-08-8"
316,T3D0394,"16605-91-7"
317,T3D0395,"25569-80-6"
318,T3D0396,"33284-50-3"
319,T3D0397,"34883-43-7"
320,T3D0398,"34883-39-1"
321,T3D0399,"33146-45-1"
322,T3D0400,"2050-67-1"
323,T3D0401,"2974-92-7"
324,T3D0402,"2974-90-5"
325,T3D0403,"34883-41-5"
326,T3D0404,"2050-68-2"
327,T3D0405,"38444-78-9"
328,T3D0406,"37680-66-3"
329,T3D0407,"37680-65-2"
330,T3D0408,"38444-73-4"
331,T3D0409,"38444-84-7"
332,T3D0410,"55702-46-0"
333,T3D0411,"38444-85-8"
334,T3D0412,"55720-44-0"
335,T3D0413,"55702-45-9"
336,T3D0414,"55712-37-3"
337,T3D0415,"38444-81-4"
338,T3D0416,"38444-76-7"
339,T3D0417,"7012-37-5"
340,T3D0418,"15862-07-4"
341,T3D0419,"35693-92-6"
342,T3D0420,"16606-02-3"
343,T3D0421,"38444-77-8"
344,T3D0422,"38444-86-9"
345,T3D0423,"37680-68-5"
