,toxin_id,cas_number
832,T3D1008,"1918-18-9"
833,T3D1009,"40085-57-2"
834,T3D1010,"1918-11-2"
835,T3D1011,"28249-77-6"
836,T3D1012,"25171-63-5"
837,T3D1013,"59669-26-0"
838,T3D1014,"39196-18-4"
839,T3D1015,"51892-60-5"
840,T3D1016,"36756-79-3"
841,T3D1017,"2303-17-5"
842,T3D1018,"2686-99-9"
843,T3D1020,"1929-77-7"
844,T3D1021,"2425-10-7"
845,T3D1022,"297-78-9"
846,T3D1023,"465-73-6"
847,T3D1024,"584-79-2"
848,T3D1025,"35764-59-1"
849,T3D1026,"26002-80-2"
850,T3D1027,"10453-86-8"
851,T3D1028,"7696-12-0"
852,T3D1029,"101007-06-1"
853,T3D1030,"63935-38-6"
854,T3D1031,"68359-37-5"
855,T3D1032,"68085-85-8"
856,T3D1033,"39515-40-7"
857,T3D1034,"52315-07-8"
858,T3D1035,"52918-63-5"
859,T3D1036,"66230-04-4"
860,T3D1037,"51630-58-1"
861,T3D1039,"69409-94-5"
862,T3D1041,"65195-55-3"
863,T3D1042,"65195-56-4"
864,T3D1043,"121124-29-6"
865,T3D1044,"121424-52-0"
866,T3D1045,"1164504-23-7"
867,T3D1046,"13623-98-8"
868,T3D1047,"26171-05-1"
869,T3D1048,"61018-99-3"
870,T3D1049,"50902-03-9"
871,T3D1050,"27861-40-1"
872,T3D1051,"94776-91-7"
873,T3D1052,"27861-39-8"
874,T3D1053,"94662-61-0"
875,T3D1054,"58350-08-6"
876,T3D1055,"58842-20-9"
877,T3D1056,"94662-60-9"
878,T3D1058,"26171-04-0"
879,T3D1059,"40990-27-0"
880,T3D1060,"57734-58-4"
881,T3D1061,"302544-16-7"
882,T3D1062,"94662-64-3"
883,T3D1064,"91417-82-2"
884,T3D1065,"24483-78-1"
885,T3D1066,"56593-86-3"
886,T3D1067,"91978-88-0"
887,T3D1069,"60737-54-4"
888,T3D1076,"78649-93-1"
889,T3D1084,"72126-78-4"
890,T3D1086,"40164-67-8"
891,T3D1087,"23184-66-9"
892,T3D1088,"57837-19-1"
893,T3D1089,"51218-45-2"
894,T3D1090,"1918-16-7"
895,T3D1091,"52869-91-7"
896,T3D1092,"543-80-6"
897,T3D1093,"18810-58-7"
898,T3D1094,"13967-90-3"
899,T3D1095,"10553-31-8"
900,T3D1097,"1191-79-3"
901,T3D1098,"52869-93-9"
902,T3D1099,"513-77-9"
903,T3D1100,"13477-00-4"
904,T3D1101,"10361-37-2"
905,T3D1103,"542-62-1"
906,T3D1104,"13773-23-4"
907,T3D1105,"11138-11-7"
908,T3D1107,"7787-32-8"
909,T3D1108,"17194-00-2"
910,T3D1111,"13477-10-6"
911,T3D1112,"13718-50-8"
912,T3D1114,"12047-11-9"
913,T3D1115,"10022-31-8"
914,T3D1116,"516-02-9"
915,T3D1117,"1304-28-5"
916,T3D1118,"13465-95-7"
917,T3D1119,"7787-36-2"
918,T3D1120,"1304-29-6"
919,T3D1121,"17125-80-3"
920,T3D1122,"7727-43-7"
921,T3D1123,"21109-95-5"
922,T3D1124,"12047-27-7"
923,T3D1126,"12009-21-1"
924,T3D1127,"107539-20-8"
925,T3D1128,"7773-01-5"
926,T3D1131,"7785-87-7"
927,T3D1134,"1317-35-7"
928,T3D1135,"1313-13-9"
929,T3D1136,"7722-64-7"
930,T3D1137,"140678-14-4"
931,T3D1138,"12108-13-3"
932,T3D1139,"1344-43-0"
933,T3D1140,"10170-69-1"
934,T3D1141,"12299-98-8"
935,T3D1142,"12057-92-0"
936,T3D1143,"13446-03-2"
937,T3D1145,"598-62-9"
938,T3D1146,"7782-64-1"
939,T3D1147,"14325-24-7"
940,T3D1148,"18820-29-6"
941,T3D1149,"19513-05-4"
942,T3D1150,"7783-53-1"
943,T3D1151,"1317-34-6"
944,T3D1152,"10294-64-1"
945,T3D1153,"13446-10-1"
946,T3D1154,"10118-76-0"
947,T3D1155,"10101-50-5"
948,T3D1156,"23414-72-4"
949,T3D1157,"6485-39-8"
950,T3D1158,"638-38-0"
951,T3D1159,"5968-88-7"
952,T3D1160,"7783-22-4"
953,T3D1161,"13721-34-1"
954,T3D1162,"1344-59-8"
955,T3D1163,"1344-57-6"
956,T3D1164,"7783-81-5"
957,T3D1165,"13470-21-8"
958,T3D1166,"12036-71-4"
959,T3D1167,"10026-10-5"
960,T3D1168,"10049-14-6"
961,T3D1169,"1344-58-6"
962,T3D1170,"13536-84-0"
963,T3D1172,"12007-36-2"
964,T3D1173,"12070-09-6"
965,T3D1174,"12033-83-9"
966,T3D1175,"10025-93-1"
967,T3D1176,"11079-26-8"
968,T3D1177,"541-09-3"
969,T3D1179,"7791-26-6"
970,T3D1180,"16984-59-1"
971,T3D1181,"10102-06-4"
972,T3D1182,"1314-64-3"
973,T3D1183,"10138-94-0"
974,T3D1184,"33636-93-0"
975,T3D1185,"37337-13-6"
976,T3D1186,"23642-01-5"
977,T3D1187,"533-01-7"
978,T3D1188,"11006-34-1"
979,T3D1189,"12053-18-8"
980,T3D1190,"13478-41-6"
981,T3D1191,"7789-19-7"
982,T3D1193,"527-09-3"
983,T3D1194,"1317-39-1"
984,T3D1195,"1317-38-0"
985,T3D1196,"12159-07-8"
986,T3D1197,"22205-45-4"
987,T3D1198,"1317-40-4"
988,T3D1199,"1117-94-8"
989,T3D1200,"7787-70-4"
990,T3D1201,"7758-89-6"
991,T3D1202,"7681-65-4"
992,T3D1203,"12019-57-7"
993,T3D1204,"142-71-2"
994,T3D1206,"14215-30-6"
995,T3D1207,"7789-45-9"
996,T3D1208,"1184-64-1"
997,T3D1209,"7447-39-4"
998,T3D1211,"20427-59-2"
999,T3D1212,"3251-23-8"
1000,T3D1215,"7758-98-7"
1001,T3D1217,"34946-82-2"
1002,T3D1219,"12002-03-8"
1003,T3D1220,"10380-29-7"
1004,T3D1221,"1332-03-2"
1005,T3D1222,"10103-48-7"
1006,T3D1223,"7798-23-4"
1007,T3D1224,"10102-90-6"
1008,T3D1225,"1332-65-6"
1009,T3D1226,"544-19-4"
1010,T3D1227,"27004-40-6"
1011,T3D1228,"814-81-3"
1012,T3D1229,"13395-16-9"
1013,T3D1230,"1338-02-9"
1014,T3D1231,"13426-91-0"
1015,T3D1232,"7772-99-8"
1016,T3D1234,"18282-10-5"
1017,T3D1236,"13814-97-6"
1018,T3D1237,"7783-47-3"
1019,T3D1238,"993-16-8"
1020,T3D1239,"753-73-1"
1021,T3D1240,"1066-45-1"
1022,T3D1241,"1118-46-3"
1023,T3D1242,"683-18-1"
1024,T3D1243,"1461-22-9"
1025,T3D1244,"2406-65-7"
1026,T3D1245,"78763-54-9"
1027,T3D1246,"1002-53-5"
1028,T3D1248,"1461-25-2"
1029,T3D1249,"56-35-9"
1030,T3D1250,"2767-54-6"
1031,T3D1251,"668-34-8"
1032,T3D1252,"76-87-9"
1033,T3D1253,"639-58-7"
1034,T3D1254,"3091-25-6"
1035,T3D1255,"3542-36-7"
1036,T3D1256,"869-59-0"
1037,T3D1257,"2587-76-0"
1038,T3D1258,"3590-84-9"
1039,T3D1259,"818-08-6"
1040,T3D1260,"900-95-8"
1041,T3D1261,"597-64-8"
1042,T3D1262,"594-27-4"
1043,T3D1263,"892-20-6"
1044,T3D1264,"12035-04-0"
1045,T3D1265,"2406-52-2"
1046,T3D1266,"1315-06-0"
1047,T3D1267,"12040-02-7"
1048,T3D1268,"10031-24-0"
1049,T3D1269,"12026-24-3"
1050,T3D1270,"10294-70-9"
1051,T3D1271,"21651-19-4"
1052,T3D1272,"7488-55-3"
1053,T3D1273,"1314-95-0"
1054,T3D1274,"7789-67-5"
1055,T3D1275,"7646-78-8"
1056,T3D1277,"7783-62-2"
1057,T3D1278,"7790-47-8"
1058,T3D1279,"1315-01-1"
1059,T3D1280,"54849-38-6"
1060,T3D1281,"26636-01-1"
1061,T3D1282,"1067-33-0"
1062,T3D1283,"77-58-7"
1063,T3D1284,"13121-70-5"
1064,T3D1285,"41083-11-8"
1065,T3D1286,"13356-08-6"
1066,T3D1287,"2155-70-6"
1067,T3D1289,"22831-42-1"
1068,T3D1290,"12005-69-5"
1069,T3D1291,"1303-11-3"
1070,T3D1292,"12255-48-0"
1071,T3D1293,"97-44-9"
1072,T3D1294,"289-31-6"
1073,T3D1295,"531-72-6"
1074,T3D1296,"22441-45-8"
1075,T3D1297,"7784-36-3"
1076,T3D1298,"7784-33-0"
1077,T3D1299,"7784-35-2"
1078,T3D1300,"7784-45-4"
1079,T3D1301,"1303-36-2"
1080,T3D1302,"287-77-4"
1081,T3D1303,"7334-23-8"
1082,T3D1304,"13246-32-7"
1083,T3D1305,"471-35-2"
1084,T3D1306,"503-80-0"
1085,T3D1307,"712-48-1"
1086,T3D1308,"23525-22-6"
1087,T3D1309,"598-14-1"
1088,T3D1310,"541-25-3"
1089,T3D1311,"593-89-5"
1090,T3D1312,"696-28-6"
1091,T3D1313,"3688-92-4"
1092,T3D1314,"603-32-7"
1093,T3D1316,"52740-16-6"
1094,T3D1317,"10378-48-0"
1095,T3D1318,"10102-50-8"
1096,T3D1319,"10102-49-5"
1097,T3D1320,"5968-84-3"
1098,T3D1321,"58-36-6"
1099,T3D1322,"10294-47-0"
1100,T3D1323,"814-93-7"
1101,T3D1324,"1072-35-1"
1102,T3D1325,"12069-00-0"
1103,T3D1326,"1314-91-6"
1104,T3D1327,"7783-46-2"
1105,T3D1328,"19781-14-3"
1106,T3D1329,"15875-18-0"
1107,T3D1330,"1319-46-6"
1108,T3D1331,"1335-32-6"
1109,T3D1332,"546-67-8"
1110,T3D1333,"7759-01-5"
1111,T3D1334,"26265-65-6"
1112,T3D1335,"13637-76-8"
1113,T3D1337,"51404-69-4"
1114,T3D1338,"1762-27-2"
1115,T3D1339,"1762-28-3"
1116,T3D1340,"1762-26-1"
1117,T3D1341,"10124-48-8"
1118,T3D1342,"13967-25-4"
1119,T3D1343,"7783-39-3"
1120,T3D1344,"15829-53-5"
1121,T3D1345,"1312-03-4"
1122,T3D1346,"1345-09-1"
1123,T3D1347,"591-89-9"
1124,T3D1348,"583-15-3"
1125,T3D1349,"1191-80-6"
1126,T3D1350,"502-39-6"
1127,T3D1351,"2235-25-8"
1128,T3D1352,"151-38-2"
1129,T3D1353,"26983-51-7"
1130,T3D1354,"100-56-1"
1131,T3D1355,"55-68-5"
1132,T3D1356,"12002-19-6"
1133,T3D1357,"20223-84-1"
1134,T3D1358,"627-44-1"
1135,T3D1359,"107-27-7"
1136,T3D1360,"140-20-5"
1137,T3D1361,"129-16-8"
1138,T3D1362,"486-67-9"
1139,T3D1363,"102-98-7"
1140,T3D1364,"54-64-8"
1141,T3D1367,"55700-14-6"
1142,T3D1371,"2420-98-6"
1143,T3D1372,"542-83-6"
1144,T3D1373,"68583-45-9"
1145,T3D1374,"79110-87-5"
1146,T3D1375,"13598-00-0"
1147,T3D1376,"39413-47-3"
1148,T3D1377,"66104-24-3"
1149,T3D1383,"1307-86-4"
1150,T3D1385,"13762-14-6"
1151,T3D1387,"1317-42-6"
1152,T3D1388,"17786-31-1"
1153,T3D1389,"12069-68-0"
1154,T3D1390,"12602-23-2"
1155,T3D1392,"866-81-9"
1156,T3D1393,"14040-32-5"
1157,T3D1394,"14040-33-6"
1158,T3D1395,"542-84-7"
1159,T3D1398,"12078-25-0"
1160,T3D1399,"13782-01-9"
1161,T3D1400,"544-18-3"
1162,T3D1401,"3267-76-3"
1163,T3D1402,"14017-41-5"
1164,T3D1403,"136-52-7"
1165,T3D1404,"62207-76-5"
1166,T3D1409,"13477-70-8"
1167,T3D1411,"14396-43-1"
1168,T3D1412,"11113-75-0"
1169,T3D1413,"22980-82-1"
1170,T3D1414,"12003-78-0"
1171,T3D1415,"15843-02-4"
1172,T3D1416,"13927-77-0"
1173,T3D1417,"1314-06-3"
1174,T3D1418,"1271-28-9"
1175,T3D1422,"14220-17-8"
1176,T3D1425,"12331-76-9"
1177,T3D1426,"12082-08-5"
1178,T3D1427,"1271-54-1"
1179,T3D1428,"10141-00-1"
1180,T3D1430,"12012-35-0"
1181,T3D1431,"13007-92-6"
1182,T3D1432,"13548-38-4"
1183,T3D1434,"24094-93-7"
1184,T3D1435,"14976-80-8"
1185,T3D1436,"10049-05-5"
1186,T3D1437,"12018-00-7"
1187,T3D1438,"21679-31-2"
1188,T3D1439,"10025-73-7"
1189,T3D1441,"7788-97-8"
1190,T3D1444,"1308-38-9"
1191,T3D1445,"14639-25-9"
1192,T3D1446,"10101-53-8"
1193,T3D1448,"12018-22-3"
1194,T3D1449,"12018-01-8"
1195,T3D1450,"1271-24-5"
1196,T3D1451,"14977-61-8"
1197,T3D1452,"13573-16-5"
1198,T3D1454,"1308-14-1"
1199,T3D1455,"41261-95-4"
1200,T3D1457,"814-90-4"
1201,T3D1458,"1066-30-4"
1202,T3D1459,"10326-24-6"
1203,T3D1460,"14324-55-1"
1204,T3D1461,"2452-01-9"
1205,T3D1462,"557-07-3"
1206,T3D1463,"127-82-2"
1207,T3D1464,"13597-65-4"
1208,T3D1465,"137-30-4"
1209,T3D1466,"12122-67-7"
1210,T3D1467,"625-81-0"
1211,T3D1468,"41114-59-4"
1212,T3D1469,"12179-14-5"
1213,T3D1470,"14639-97-5"
1214,T3D1471,"19210-06-1"
1215,T3D1473,"54010-75-2"
1216,T3D1474,"1332-07-6"
1217,T3D1475,"7783-24-6"
1218,T3D1476,"557-41-5"
1219,T3D1477,"557-28-8"
1220,T3D1486,"1327-41-9"
1221,T3D1487,"142-03-0"
1222,T3D1488,"139-12-8"
1223,T3D1490,"19022-77-6"
1224,T3D1491,"25152-52-7"
1225,T3D1492,"1299-86-1"
1226,T3D1493,"7446-70-0"
1227,T3D1495,"12041-50-8"
1228,T3D1496,"12041-54-2"
1229,T3D1497,"7784-18-1"
1230,T3D1499,"14484-69-6"
1231,T3D1501,"13682-92-3"
1232,T3D1502,"7784-21-6"
1233,T3D1503,"16853-85-3"
1234,T3D1504,"21645-51-2"
1235,T3D1505,"7784-23-8"
1236,T3D1507,"12004-36-3"
1237,T3D1508,"457-64-8"
1238,T3D1509,"1344-28-1"
1239,T3D1510,"555-31-7"
1240,T3D1511,"15123-80-5"
1241,T3D1512,"13595-81-8"
1242,T3D1513,"13595-82-9"
1243,T3D1514,"7047-84-9"
1244,T3D1515,"13473-90-0"
1245,T3D1517,"24304-00-5"
1246,T3D1518,"12633-97-5"
1247,T3D1519,"7784-30-7"
1248,T3D1520,"20859-73-8"
1249,T3D1521,"1335-30-4"
1250,T3D1522,"10043-01-3"
1251,T3D1524,"1302-81-4"
1252,T3D1525,"120144-90-3"
1253,T3D1526,"7784-25-0"
1254,T3D1528,"1191-15-7"
1255,T3D1529,"10043-67-1"
1256,T3D1531,"22722-98-1"
1257,T3D1532,"13770-96-2"
1258,T3D1533,"13775-53-6"
1259,T3D1534,"67719-69-1"
1260,T3D1535,"97-93-8"
1261,T3D1536,"75-24-1"
1262,T3D1537,"2085-33-8"
1263,T3D1538,"12003-67-7"
1264,T3D1539,"1302-42-7"
1265,T3D1540,"12004-37-4"
1266,T3D1541,"12068-51-8"
1267,T3D1542,"12004-76-1"
1268,T3D1543,"12003-96-2"
1269,T3D1544,"14024-11-4"
1270,T3D1545,"563-43-9"
1271,T3D1546,"10102-71-3"
1272,T3D1547,"555-35-1"
1273,T3D1548,"688-37-9"
1274,T3D1549,"7785-88-8"
1275,T3D1550,"100-99-2"
1276,T3D1551,"12075-68-2"
1277,T3D1552,"12263-85-3"
1278,T3D1553,"96-10-6"
1279,T3D1554,"555-75-9"
1280,T3D1555,"300-92-5"
1281,T3D1556,"637-12-7"
1282,T3D1557,"1070-00-4"
1283,T3D1558,"16-70-7"
1284,T3D1559,"1116-73-0"
1285,T3D1560,"1529-57-3"
1286,T3D1561,"1529-58-4"
1287,T3D1562,"1529-59-5"
1288,T3D1563,"1726-65-4"
1289,T3D1564,"1726-66-5"
1290,T3D1565,"1779-25-5"
1291,T3D1566,"44-01-0"
1292,T3D1567,"14457-84-2"
1293,T3D1568,"1318-23-6"
1294,T3D1571,"2269-22-9"
1295,T3D1572,"12012-95-2"
1296,T3D1573,"24-61-4"
1297,T3D1574,"12648-42-9"
1298,T3D1575,"3375-31-3"
1299,T3D1576,"7647-10-1"
1300,T3D1577,"10102-05-3"
1301,T3D1578,"1314-08-5"
1302,T3D1579,"14221-01-3"
1303,T3D1581,"7440-05-3"
1304,T3D1582,"19168-23-1"
1305,T3D1583,"32005-36-0"
1306,T3D1584,"14024-61-4"
1307,T3D1585,"14323-43-4"
1308,T3D1586,"13782-33-7"
1309,T3D1587,"965-03-2"
1310,T3D1588,"28068-05-5"
1311,T3D1589,"12107-56-1"
1312,T3D1590,"16970-55-1"
1313,T3D1591,"90-38-7"
1314,T3D1592,"566-03-5"
1315,T3D1593,"10025-98-6"
1316,T3D1594,"13820-53-6"
1317,T3D1595,"13815-17-3"
1318,T3D1596,"134620-00-1"
1319,T3D1599,"563-63-3"
1320,T3D1600,"7659-31-6"
1321,T3D1601,"13863-88-2"
1322,T3D1602,"534-16-7"
1323,T3D1603,"7783-92-8"
1324,T3D1604,"7783-90-6"
1325,T3D1605,"5610-59-3"
1326,T3D1606,"26042-63-7"
1327,T3D1607,"7783-97-3"
1328,T3D1608,"7783-96-2"
1329,T3D1609,"13765-74-4"
1330,T3D1610,"7761-88-8"
1331,T3D1611,"533-51-7"
1332,T3D1612,"20667-12-3"
1333,T3D1613,"7783-93-9"
1334,T3D1615,"1302-01-8"
1335,T3D1616,"10294-26-5"
1336,T3D1617,"21548-73-2"
1337,T3D1618,"12002-99-2"
1338,T3D1619,"14104-20-2"
1339,T3D1620,"1493-13-6"
1340,T3D1621,"7775-41-9"
1341,T3D1622,"1301-96-8"
1342,T3D1624,"12070-10-9"
1343,T3D1625,"20644-87-5"
1344,T3D1626,"24646-85-3"
1345,T3D1627,"7727-18-6"
1346,T3D1628,"7632-51-1"
1347,T3D1629,"10580-52-6"
1348,T3D1630,"12035-98-2"
1349,T3D1631,"7718-98-1"
1350,T3D1632,"10049-12-4"
1351,T3D1633,"15513-94-7"
1352,T3D1634,"1314-34-7"
1353,T3D1635,"13701-70-7"
1354,T3D1636,"10049-16-8"
1355,T3D1637,"27774-13-6"
1356,T3D1638,"12036-21-4"
1357,T3D1639,"1314-62-1"
1358,T3D1640,"13709-31-4"
1359,T3D1641,"12083-48-6"
1360,T3D1642,"3153-26-2"
1361,T3D1645,"7803-55-6"
1362,T3D1646,"13718-26-8"
1363,T3D1647,"13721-39-6"
1364,T3D1648,"2035-66-7"
1365,T3D1649,"27072-45-3"
1366,T3D1650,"7188-38-7"
1367,T3D1651,"6914-07-4"
1368,T3D1652,"593-75-9"
1369,T3D1653,"36635-61-7"
1370,T3D1654,"105879-13-8"
1371,T3D1655,"580-74-5"
1372,T3D1659,"103-71-9"
1373,T3D1660,"1189-71-5"
1374,T3D1661,"822-06-0"
1375,T3D1662,"4098-71-9"
1376,T3D1663,"624-83-9"
1377,T3D1664,"101-68-8"
1378,T3D1665,"86-91-9"
1379,T3D1666,"111-36-4"
1380,T3D1667,"584-84-9"
1381,T3D1668,"91-08-7"
1382,T3D1669,"102-36-3"
1383,T3D1670,"30674-80-7"
1384,T3D1672,"91-93-0"
1385,T3D1673,"5124-30-1"
1386,T3D1674,"556-64-9"
1387,T3D1675,"542-90-5"
1388,T3D1676,"6317-18-6"
1389,T3D1677,"115-31-1"
1390,T3D1678,"75-86-5"
1391,T3D1679,"107-91-5"
1392,T3D1680,"105-56-6"
1393,T3D1681,"4044-65-9"
1394,T3D1682,"109-78-4"
1395,T3D1683,"372-09-8"
1396,T3D1684,"14038-43-8"
1397,T3D1685,"75-05-8"
1398,T3D1686,"532-28-5"
1399,T3D1687,"2094-98-6"
1400,T3D1688,"107-13-1"
1401,T3D1689,"111-69-3"
1402,T3D1690,"151-18-8"
1403,T3D1691,"100-47-0"
1404,T3D1692,"140-29-4"
1405,T3D1693,"5798-79-8"
1406,T3D1694,"1689-84-5"
1407,T3D1695,"6606-65-1"
1408,T3D1696,"109-74-0"
1409,T3D1697,"555-60-2"
1410,T3D1698,"370-86-5"
1411,T3D1699,"122453-73-0"
1412,T3D1700,"1897-45-6"
1413,T3D1701,"1194-65-6"
1414,T3D1702,"7085-85-0"
1415,T3D1703,"544-13-8"
1416,T3D1704,"109-77-3"
1417,T3D1705,"137-05-3"
1418,T3D1706,"6701-17-3"
1419,T3D1707,"91-15-6"
1420,T3D1708,"107-12-0"
1421,T3D1709,"5459-90-4"
1422,T3D1710,"110-61-2"
1423,T3D1711,"1518-16-7"
1424,T3D1712,"670-54-2"
1425,T3D1713,"3333-52-6"
1426,T3D1715,"7789-31-3"
1427,T3D1716,"7758-01-2"
1428,T3D1717,"7783-89-3"
1429,T3D1718,"7789-38-0"
1430,T3D1719,"14519-18-7"
1431,T3D1720,"7727-15-3"
1432,T3D1721,"12124-97-9"
1433,T3D1722,"7789-61-9"
1434,T3D1723,"10294-33-4"
1435,T3D1724,"52-51-7"
1436,T3D1725,"30007-47-7"
1437,T3D1726,"7787-69-1"
1438,T3D1727,"7789-41-5"
1439,T3D1729,"14457-87-5"
1440,T3D1730,"13450-88-9"
1441,T3D1731,"10294-28-7"
1442,T3D1732,"10035-10-6"
1443,T3D1733,"14280-53-6"
1444,T3D1734,"13465-09-3"
1445,T3D1735,"7789-46-0"
1446,T3D1736,"10031-26-2"
1447,T3D1737,"13536-79-3"
1448,T3D1738,"7550-35-8"
1449,T3D1739,"7789-48-2"
1450,T3D1742,"13748-45-0"
1451,T3D1743,"15162-90-0"
1452,T3D1744,"7789-69-7"
1453,T3D1745,"7789-60-8"
1454,T3D1746,"13455-12-4"
1455,T3D1747,"68936-92-1"
1456,T3D1748,"7758-02-3"
1457,T3D1749,"10031-23-9"
1458,T3D1750,"7789-39-1"
1459,T3D1751,"7789-51-7"
1460,T3D1752,"7789-66-4"
1461,T3D1753,"7785-23-1"
1462,T3D1754,"7647-15-6"
1463,T3D1756,"10476-81-0"
1464,T3D1758,"13451-11-1"
1465,T3D1759,"7789-54-0"
1466,T3D1760,"10031-27-3"
1467,T3D1761,"14456-47-4"
1468,T3D1762,"558-13-4"
1469,T3D1763,"7789-40-4"
1470,T3D1764,"507-16-4"
1471,T3D1765,"7789-68-6"
1472,T3D1766,"13470-11-6"
1473,T3D1767,"13520-77-9"
1474,T3D1768,"13470-26-3"
1475,T3D1769,"13759-89-2"
1476,T3D1770,"13469-98-2"
1477,T3D1771,"1377-25-8"
1478,T3D1772,"78-76-2"
1479,T3D1773,"3377-86-4"
1480,T3D1774,"106-95-6"
1481,T3D1775,"16079-88-2"
1482,T3D1776,"100-39-0"
1483,T3D1777,"79-08-3"
1484,T3D1778,"598-31-2"
1485,T3D1779,"108-86-1"
1486,T3D1780,"71418-44-5"
1487,T3D1781,"109-65-9"
1488,T3D1782,"59-14-3"
1489,T3D1783,"3832-48-2"
1490,T3D1784,"74-96-4"
1491,T3D1785,"75-25-2"
1492,T3D1786,"111-25-1"
1493,T3D1787,"74-83-9"
1494,T3D1788,"75-26-3"
1495,T3D1789,"128-08-5"
1496,T3D1790,"51-20-7"
1497,T3D1791,"521-74-4"
1498,T3D1792,"77-48-5"
1499,T3D1793,"557-91-5"
1500,T3D1795,"74-95-3"
1501,T3D1796,"78-75-1"
1502,T3D1797,"109-64-8"
1503,T3D1798,"496-00-4"
1504,T3D1799,"105-36-2"
1505,T3D1800,"25637-99-4"
1506,T3D1801,"70-11-1"
1507,T3D1802,"106-94-5"
1508,T3D1803,"79-94-7"
1509,T3D1804,"79-27-6"
1510,T3D1805,"17497-85-7"
1511,T3D1806,"593-60-2"
1512,T3D1807,"89-92-9"
1513,T3D1808,"28258-59-5"
1514,T3D1809,"620-13-3"
1515,T3D1810,"21255-83-4"
1516,T3D1811,"13863-41-7"
1517,T3D1812,"7789-30-2"
1518,T3D1813,"7787-71-5"
1519,T3D1814,"14220-21-4"
1520,T3D1815,"7783-08-6"
1521,T3D1816,"13410-01-0"
1522,T3D1817,"645-96-5"
1523,T3D1818,"1666-13-3"
1524,T3D1819,"7446-08-4"
1525,T3D1820,"7446-34-6"
1526,T3D1821,"7488-56-4"
1527,T3D1822,"7783-79-1"
1528,T3D1823,"75926-26-0"
1529,T3D1824,"7791-23-3"
1530,T3D1825,"10026-03-6"
1531,T3D1826,"13465-66-2"
1532,T3D1827,"13768-86-0"
1533,T3D1828,"1302-82-5"
1534,T3D1829,"1315-05-5"
1535,T3D1830,"506-80-9"
1536,T3D1831,"12024-11-2"
1537,T3D1832,"12024-24-7"
1538,T3D1833,"12065-10-0"
1539,T3D1834,"7783-07-5"
1540,T3D1835,"12056-07-4"
1541,T3D1836,"1302-09-6"
1542,T3D1837,"7783-00-8"
1543,T3D1838,"7784-05-6"
1544,T3D1839,"10102-18-8"
1545,T3D1840,"12039-52-0"
1546,T3D1841,"144-34-3"
1547,T3D1842,"108-39-4"
1548,T3D1843,"82657-04-3"
1549,T3D1844,"28434-01-7"
1550,T3D1846,"39515-41-8"
1551,T3D1847,"70124-77-5"
1552,T3D1848,"69770-45-2"
1553,T3D1849,"102851-06-9"
1554,T3D1850,"52645-53-1"
1555,T3D1851,"79538-32-2"
1556,T3D1852,"66841-25-6"
1557,T3D1853,"25402-06-6"
1558,T3D1854,"121-20-0"
1559,T3D1855,"4466-14-2"
1560,T3D1856,"1172-63-0"
1561,T3D1857,"121-21-1"
1562,T3D1858,"121-29-9"
1563,T3D1859,"12067-17-3"
1564,T3D1860,"12597-17-0"
1565,T3D1861,"18770-47-3"
1566,T3D1862,"10433-06-4"
1567,T3D1863,"13077-54-8"
1568,T3D1864,"36368-97-5"
1569,T3D1866,"193095-46-4"
1570,T3D1867,"12359-48-7"
1571,T3D1868,"16629-56-4"
1572,T3D1869,"19493-17-5"
1573,T3D1870,"12361-66-9"
1574,T3D1872,"16950-06-4"
1575,T3D1873,"18424-17-4"
1576,T3D1874,"23854-38-8"
1577,T3D1875,"17856-92-7"
1578,T3D1876,"16941-06-3"
1579,T3D1877,"12208-13-8"
1580,T3D1879,"16893-92-8"
1581,T3D1880,"10090-54-7
"
1582,T3D1881,"26042-64-8"
1583,T3D1882,"16925-25-0"
1584,T3D1883,"13776-84-6"
1585,T3D1884,"45212-19-9"
1586,T3D1885,"16894-69-2"
1587,T3D1886,"107373-21-7"
1588,T3D1887,"3264-67-3"
1589,T3D1888,"5835-64-3"
1590,T3D1889,"13059-67-1"
1591,T3D1890,"13077-53-7"
1592,T3D1891,"54075-76-2"
1593,T3D1892,"603-36-1"
1594,T3D1893,"1538-62-1"
1595,T3D1894,"57997-56-5"
1596,T3D1895,"594-31-0"
1597,T3D1896,"28609-58-7"
1598,T3D1897,"52704-88-8"
1599,T3D1898,"27309-70-2"
1600,T3D1899,"386-91-4"
1601,T3D1900,"24964-91-8"
1602,T3D1901,"17946-45-1"
1603,T3D1902,"7289-92-1"
1604,T3D1903,"23822-15-3"
1605,T3D1904,"5395-43-7"
1606,T3D1905,"3643-76-3"
1607,T3D1906,"10061-01-5"
1608,T3D1907,"10061-02-6"
1609,T3D1908,"563-58-6"
1610,T3D1909,"563-54-2"
1611,T3D1910,"78-88-6"
1612,T3D1911,"563-57-5"
1613,T3D1912,"10034-81-8"
1614,T3D1913,"7778-74-7"
1615,T3D1914,"7790-98-9"
1616,T3D1915,"7601-89-0"
1617,T3D1916,"7791-03-9"
1618,T3D1917,"252-07-7"
1619,T3D1918,"115245-06-2"
1620,T3D1919,"115245-07-3"
1621,T3D1920,"115245-08-4"
1622,T3D1921,"115245-09-5"
1623,T3D1922,"115245-10-8"
1624,T3D1923,"119264-50-5"
1625,T3D1924,"119264-51-6"
1626,T3D1925,"119264-52-7"
1627,T3D1926,"119264-53-8"
